tiempo,paso,n_part
10.670013,0.02,0
10.6890135,0.019,0
10.708014,0.019,0
10.728014,0.02,0
10.749014,0.021,0
10.768014,0.019,0
10.787014,0.019,0
10.809014,0.022,0
10.828014,0.019,0
10.848015,0.02,0
10.869015,0.021,0
10.890015,0.021,0
10.908014,0.018,0
10.931014,0.023,0
10.948014,0.017,0
10.969014,0.021,0
10.989015,0.02,0
11.008015,0.019,0
11.028015,0.02,0
11.049015,0.021,0
11.068015,0.019,0
11.089015,0.021,0
11.109015,0.02,0
11.130015,0.021,0
11.151015,0.021,0
11.1680155,0.017,0
11.191015,0.023,0
11.209015,0.018,0
11.229015,0.02,0
11.248015,0.019,0
11.270016,0.022,0
11.288015,0.018,0
11.309015,0.021,0
11.329016,0.02,0
11.351016,0.022,0
11.3710165,0.02,0
11.388017,0.017,0
11.409017,0.021,0
11.429017,0.02,0
11.448017,0.019,0
11.470017,0.022,0
11.488017,0.018,0
11.509017,0.021,0
11.529017,0.02,0
11.553018,0.024,0
11.569017,0.016,0
11.588017,0.019,0
11.609017,0.021,0
11.629018,0.02,0
11.648018,0.019,0
11.668018,0.02,0
11.689018,0.021,0
11.709019,0.02,0
11.728019,0.019,0
11.750019,0.022,0
11.768019,0.018,0
11.790019,0.022,0
11.809019,0.019,0
11.828019,0.019,0
11.84802,0.02,0
11.87202,0.024,0
11.88802,0.016,0
11.91002,0.022,0
11.92802,0.018,1
11.94802,0.02,1
11.96902,0.021,1
11.99002,0.021,1
12.01102,0.021,1
12.03002,0.019,1
12.05002,0.02,1
12.06902,0.019,1
12.09002,0.021,1
12.10902,0.019,1
12.129021,0.02,1
12.148021,0.019,1
12.168021,0.02,1
12.189021,0.021,1
12.209022,0.02,1
12.229022,0.02,1
12.248022,0.019,1
12.269022,0.021,2
12.289022,0.02,2
12.310022,0.021,2
12.331022,0.021,2
12.349022,0.018,2
12.369022,0.02,2
12.389023,0.02,2
12.409023,0.02,2
12.428023,0.019,2
12.448024,0.02,2
12.469024,0.021,2
12.488024,0.019,2
12.508024,0.02,2
12.528025,0.02,3
12.549025,0.021,3
12.568025,0.019,3
12.592025,0.024,3
12.609025,0.017,3
12.629025,0.02,3
12.649026,0.02,3
12.668026,0.019,3
12.688026,0.02,3
12.708027,0.02,3
12.730027,0.022,3
12.749027,0.019,52
12.770027,0.021,52
12.788027,0.018,52
12.808027,0.02,52
12.828028,0.02,52
12.848028,0.02,52
12.8700285,0.022,52
12.887029,0.017,52
12.910028,0.023,52
12.9290285,0.019,52
12.950028,0.021,52
12.970029,0.02,52
12.988029,0.018,52
13.011028,0.023,52
13.031029,0.02,52
13.048029,0.017,52
13.070029,0.022,52
13.089029,0.019,101
13.110029,0.021,101
13.129029,0.019,101
13.14903,0.02,101
13.16903,0.02,101
13.18803,0.019,101
13.20903,0.021,101
13.22803,0.019,101
13.25103,0.023,101
13.26803,0.017,101
13.2900305,0.022,101
13.30803,0.018,101
13.32903,0.021,101
13.3490305,0.02,150
13.368031,0.019,100
13.388031,0.02,100
13.408031,0.02,100
13.429031,0.021,100
13.448031,0.019,100
13.470032,0.022,100
13.488031,0.018,100
13.510032,0.022,100
13.529032,0.019,100
13.549032,0.02,100
13.569033,0.02,100
13.588033,0.019,100
13.608033,0.02,100
13.628034,0.02,100
13.648034,0.02,100
13.670034,0.022,100
13.690035,0.02,100
13.7080345,0.018,50
13.730035,0.022,50
13.749035,0.019,50
13.770035,0.021,50
13.789035,0.019,50
13.810035,0.021,50
13.828034,0.018,50
13.849034,0.021,50
13.868034,0.019,50
13.890035,0.022,50
13.910035,0.02,50
13.931035,0.021,50
13.948035,0.017,50
13.970036,0.022,0
13.990036,0.02,0
14.008036,0.018,0
14.028036,0.02,0
14.050036,0.022,0
14.0690365,0.019,0
14.088037,0.019,0
14.109036,0.021,0
14.1280365,0.019,0
14.150037,0.022,0
14.168036,0.018,0
14.188037,0.02,0
14.209037,0.021,0
14.228037,0.019,0
14.250037,0.022,0
14.268037,0.018,0
14.289037,0.021,0
14.308037,0.019,0
14.328037,0.02,0
14.348038,0.02,0
14.370038,0.022,0
14.388038,0.018,0
14.408038,0.02,0
14.428039,0.02,0
14.448039,0.02,0
14.4680395,0.02,0
14.48804,0.02,0
14.50804,0.02,0
14.528041,0.02,0
14.548041,0.02,0
14.568042,0.02,0
14.588042,0.02,0
14.608043,0.02,0
14.630043,0.022,0
14.649043,0.019,0
14.670043,0.021,0
14.690043,0.02,0
14.711043,0.021,0
14.728044,0.017,0
14.748044,0.02,0
14.768044,0.02,0
14.789044,0.021,0
14.809045,0.02,0
14.830045,0.021,0
14.849045,0.019,0
14.869045,0.02,0
14.890045,0.021,0
